Title,IMDB_Rating,Reelgood_Rating,Genres,Year,Tags,Country,Source,Rated,Duration,Description,Director,Employees
To Be of Service,7.3,,['Documentary'],2019,[],,Netflix,,PT1H28M,"A documentary film about veterans with PTSD who find that, after other treatments fall short, a service dog helps them return to an independent feeling life.To Be of Service is streaming with subscription on Netflix, available for rent or purchase on iTunes, and available for rent or purchase on Prime Video. It's a documentary movie with a better than average IMDb audience rating of 7.3 (93 votes).",Josh Aronson,[]
The Yin-Yang Master: Dream of Eternity,6.4,,"['Action & Adventure', 'Drama']",2020,"['Adaptation', 'Based on Books']",China,Netflix,,PT2H12M,"Every few hundred years, the most powerful demon on earth—a snake demon—awakens, and the Yin-Yang Masters are summoned to the capital. Meanwhile, the Princess of the realm has her own plans, as she conspires to claim the demon’s power.The Yin-Yang Master: Dream of Eternity featuring Mark Chao and Deng Lun is streaming with subscription on Netflix. It's an action & adventure and drama movie with an average IMDb audience rating of 6.4 (4,695 votes).",Guo Jingming,"['Mark Chao', 'Deng Lun', '王子文', 'Wang Duo', 'Jessie Li', '徐开骋', 'Sun Chenjun', 'Jasper', 'Ju Xiaowen', 'Wang Qing', 'Li Yusu', 'Lu Zhanxiang', 'Baku Yumemakura', 'Guo Jingming', 'Kenji Kawai']"
Perfect Bid: The Contestant Who Knew Too Much,6.6,,"['Game Show', 'Documentary']",2017,"['Psychology', 'Video Games']",Canada,Hoopla,7+ (PG),PT1H12M,"Maths teacher Ted Slauson became adept at recording and memorizing prices of products featured on the iconic game show The Price is Right, an obsession dating back to the show's inception in 1972. This passion and dedication for the show culminated in him helping a contestant place a perfect bid during a 2008 showcase, an innocent act that would create one of the biggest controversies in television industry history.Perfect Bid: The Contestant Who Knew Too Much featuring Theodore Slauson and Roger Dobkowitz is streaming with subscription on Netflix, streaming with subscription on AMC+ (Via Prime Video), streaming with subscription on Hoopla, and 13 others. It's a documentary and game show movie with an average IMDb audience rating of 6.6 (2,550 votes).",C.J. Wallis,"['Theodore Slauson', 'Roger Dobkowitz', 'Drew Carey', 'Kevin Pollak', 'Bob Barker', 'C.J. Wallis', 'Mallory Kennedy']"
"Sí, Mi Amor",3.8,,"['Family', 'Comedy']",2020,[],Peru,Netflix,,PT1H47M,"A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating. Based on the successful stan-up comedy show of the same name.Sí, Mi Amor featuring Yiddá Eslava and Julián Zucchi is streaming with subscription on Netflix. It's a comedy and family movie with a low IMDb audience rating of 3.8 (172 votes).",Pedro Flores Maldonado,"['Yiddá Eslava', 'Julián Zucchi', 'Andrés Salas', 'Magdyel Ugaz', 'Mayra Couto', 'Sebastián Monteghirfo', 'Mayra Olivera', 'Pietro Sibille', 'Samuel Sunderland', 'Santiago Suárez', 'Saskia Bernaola', 'Ximena Palomino', 'Eric Varias', 'Moria Casán', 'Judith Bustos', 'Pedro Flores Maldonado', 'Yiddá Eslava']"
Shéhérazade,7,,"['Romance', 'Drama']",2018,[],France,Netflix,18+ (R),PT1H46M,"Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. This is where he meets Shéhérazade.Shéhérazade featuring Dylan Robert and Kenza Fortas is streaming with subscription on Netflix. It's a drama and romance movie with a better than average IMDb audience rating of 7.0 (2,210 votes).",Jean-Bernard Marlin,"['Dylan Robert', 'Kenza Fortas', 'Idir Azougli', 'Lisa Amedjout', 'Sofia Bent', 'Nabila Bounab', 'Kader Benchoudar', 'Nabila Ait Amer', 'Grégoire Debailly', 'Catherine Paillé', 'Jean-Bernard Marlin']"
Bogda,7.2,,['Drama'],2018,[],India,Netflix,,PT2H40M,A dysfunctional mother-daughter take a road trip in the mother's last days where the universe conspires to help them carve memories of a lifetime.Bogda featuring Mrunmayee Deshpande and Rohit Kokate is streaming with subscription on Netflix. It's a drama movie with a better than average IMDb audience rating of 7.2 (52 votes).,Nisheeta Keni,"['Mrunmayee Deshpande', 'Rohit Kokate', 'Jayant Gadekar', 'Ajinkya Bhosale', 'Suhaas Joshi', 'Nisheeta Keni']"
Johnny Mnemonic,5.6,,"['Science-Fiction', 'Action & Adventure']",1995,"['Technology', 'Dystopia', 'Doctor']",Canada,Netflix,18+ (R),PT1H37M,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.Johnny Mnemonic featuring Keanu Reeves and Dina Meyer is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Prime Video, and 2 others. It's an Action & Adventure and Science Fiction movie with an average IMDb audience rating of 5.6 (71,227 votes).",Robert Longo,"['Keanu Reeves', 'Dina Meyer', 'Takeshi Kitano', 'Ice-T', 'Dolph Lundgren', 'Denis Akiyama', 'Henry Rollins', 'Barbara Sukowa', 'Udo Kier', 'Tracy Tweed', 'Falconer Abraham', 'Don Francks', 'Diego Chambers', 'Sherry Miller', 'Arthur Eng', 'Von Flores', 'Victoria Tengelis', 'Warren Sulatycky', 'Celina Wu', 'Gene Mack', 'Jamie Elman', 'Don Carmody', 'Robert Lantos', 'Staffan Ahrenberg', 'Victoria Hamburg', 'William Gibson', 'Brad Fiedel', 'Mychael Danna']"
The Magic School Bus Rides Again: Kids in Space,6,,"['Animation', 'Family']",2020,[],Canada,Netflix,All (G),PT45M,The Magic School Bus kids blast into orbit - and onto the International Space Station - only to find themselves on the run from a giant tardigrade.The Magic School Bus Rides Again: Kids in Space featuring Kate McKinnon and Mikaela Blake is streaming with subscription on Netflix. It's an animation and family movie with an average IMDb audience rating of 6.0 (82 votes).,Richard Weston,"['Kate McKinnon', 'Mikaela Blake']"
Masameer: The Movie,5.9,,"['Animation', 'Comedy']",2020,[],Saudi Arabia,Netflix,,PT1H52M,"Danah, a Saudi girl with a passion for artificial intelligence embark on a journey to create good in the world using robotics. Meanwhile, three friends Saad, Saltooh and Kalb hit rock bottom and go on a journey of their own to prove themselves to society by becoming crime fighting superheroes.Masameer: The Movie featuring Abdulaziz Alshehri and Ibrahim Alkhairallah is streaming with subscription on Netflix. It's an animation and comedy movie with an average IMDb audience rating of 5.9 (2,255 votes).",Malik Nejer,"['Abdulaziz Alshehri', 'Ibrahim Alkhairallah', 'Shahad Alahmari', 'Mazroa Al-Mazroa', 'Mohammed Sendi', 'Riyad  Al Salhani', 'Yousef Aldakheel', 'Malik Nejer', 'Sulaiman Alnazha', 'Lama Alfard', 'Abdulaziz Almuzaini', 'Shaalan Alshaalan', 'Raghad Baidas', 'Abdulaziz Almuzaini', 'Adnan Al-Obthani', 'Abdulaziz Almuzaini', 'Malik Nejer']"
AK vs AK,6.9,,"['Mystery', 'Thriller']",2020,[],India,Netflix,18+ (R),PT1H48M,"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor's daughter, filming the search for her in real-time.AK vs AK featuring Anil Kapoor and Anurag Kashyap is streaming with subscription on Netflix. It's a mystery and thriller movie with a better than average IMDb audience rating of 6.9 (14,108 votes).",Vikramaditya Motwane,"['Anil Kapoor', 'Anurag Kashyap', 'Sonam Kapoor', 'Harshvardhan Kapoor', 'Boney Kapoor', 'Sucharita Tyagi', 'Nawazuddin Siddiqui', 'Yogita Bihani', 'Pawan Kumar Singh', 'Dipa De Motwane', 'Anurag Kashyap', 'David Taghioff', 'Avinash Sampath', 'Alokananda Dasgupta']"
Dangerous Lies,5.3,,"['Thriller', 'Drama']",2020,"['Doctor', 'Suspense']",America,Netflix,16+,PT1H36M,"After losing her waitressing job, Katie Franklin takes a job as a caretaker to a wealthy elderly man in his sprawling, empty Chicago estate. The two grow close, but when he unexpectedly passes away and names Katie as his sole heir, she and her husband Adam are pulled into a complex web of lies, deception, and murder. If she's going to survive, Katie will have to question everyone's motives — even the people she loves.Dangerous Lies featuring Camila Mendes and Jessie T. Usher is streaming with subscription on Netflix. It's a drama and thriller movie with a less than average IMDb audience rating of 5.3 (16,814 votes).",Michael Scott,"['Camila Mendes', 'Jessie T. Usher', 'Jamie Chung', 'Cam Gigandet', 'Sasha Alexander', 'Elliott Gould', 'Michael P. Northey', 'Sean O. Roberts', 'Trevor Lerner', 'Joe Costa', 'Garfield Wilson', 'Stefania Indelicato', 'France Perras', 'Briana Skye', 'Nick Purcha', 'Emma Pedersen', 'Radhesh Aria', 'Margret H. Huddleston', 'Stephanie Slack', 'Harvey Kahn', 'Michael Scott', 'David Golden']"
Arango y Sanint: Ríase el show,4,,['Comedy'],2018,[],,Netflix,,PT1H2M,"Colombian stand-up comedians Antonio Sanint and Julián Arango impersonate an Argentine visitor and a cabbie, and a pair of dirty old men at the opera.Arango y Sanint: Ríase el show is streaming with subscription on Netflix. It's a comedy movie with a low IMDb audience rating of 4.0 (42 votes).",,[]
Rose Island,7,,"['Comedy', 'Drama']",2020,"['Based On True Story', 'Political', 'Adaptation']",Italy,Netflix,,PT1H30M,"In 1968, engineer Giorgio Rosa established the independent state called ""The Isle of Roses"" off the coast of Rimini, built on a platform outside the territorial waters, with Esperanto as the official language. The Italian authorities did not take it well because the micronation was seen as an expedient to not pay taxes on the revenues obtained thanks to the arrival of numerous tourists and curious people.Rose Island featuring Elio Germano and Matilda De Angelis is streaming with subscription on Netflix. It's a comedy and drama movie with a better than average IMDb audience rating of 7.0 (20,173 votes).",Sydney Sibilia,"['Elio Germano', 'Matilda De Angelis', 'Fabrizio Bentivoglio', 'François Cluzet', 'Tom Wlaschiha', 'Luca Zingaretti', 'Leonardo Lidi', 'Fabrizio Rongione', 'Marco Pancrazi', 'Andrea Pennacchi', 'Alberto Astorri', 'Violetta Zironi', 'Christian Ginepro', 'Frank Gerrish', 'Christian Stamm', 'Ascanio Balbo', 'Giulio Farnese', 'Luca Della Bianca', 'Marco Sincini', 'Vincent Frost', 'Riccardo Marzi', 'Matteo Rovere', 'Teresa Moneo', 'Paolo Lucarini', 'Francesca Manieri', 'Sydney Sibilia']"
21 Bridges,6.6,,"['Thriller', 'Drama']",2019,"['Suspense', 'Police']",America,Netflix,18+ (R),PT1H39M,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.21 Bridges featuring Chadwick Boseman and Sienna Miller is streaming with subscription on Netflix, available for purchase on iTunes, available for rent or purchase on Google Play, and 3 others. It's a drama and thriller movie with an average IMDb audience rating of 6.6 (64,527 votes).",Brian Kirk,"['Chadwick Boseman', 'Sienna Miller', 'J.K. Simmons', 'Stephan James', 'Taylor Kitsch', 'Keith David', 'Alexander Siddig', 'Louis Cancelmi', 'Victoria Cartagena', 'Gary Carr', 'Morocco Omari', 'Chris Ghaffari', 'Dale Pavinski', 'Christian Isaiah', 'Sarah Ellen Stephens', 'Jamie Neumann', 'Peter Patrikios', 'Jayson Ward Williams', 'Suzette Gunn', 'Khalil McMillan', 'John Douglas Thompson', 'Anthony Russo', 'Chadwick Boseman', 'Gigi Pritzker', 'Joe Russo', 'Logan Coles', 'Mike Larocca', 'Robert Simonds', 'Adam Fogelson', 'Adrian Alperovich', 'Felice Bee', 'Mark Kamine', 'Rachel Shane', 'Todd Makurath', 'Wang Zhongjun', 'Wang Zhonglei', 'Adam Mervis', 'Matthew Michael Carnahan', 'Alex Belcher', 'Henry Jackman']"
Dragons: Rescue Riders: Huttsgalor Holiday,5.2,,"['Family', 'Animation']",2020,['Animal'],America,Netflix,All (G),PT46M,Snowfall marks the start of Odinyule — the Viking holiday of giving! But crazy weather might cancel the tradition unless the Rescue Riders can swoop in.Dragons: Rescue Riders: Huttsgalor Holiday featuring Noah Kaye Bentley and Brennley Brown is streaming with subscription on Netflix. It's an animation and family movie with a less than average IMDb audience rating of 5.2 (121 votes).,Greg Rankin,"['T.J. Sullivan', 'Noah Kaye Bentley', 'Brennley Brown', 'Zach Callison', 'Skai Jackson', 'Marsai Martin', 'Andre Robinson', 'Carlos Alazraqui', 'Roshon Fegan', 'Brad Grusnick', 'Sam Lavagnino', 'Laura Bowes']"
Angela's Christmas Wish,7,,"['Action & Adventure', 'Animation']",2020,[],Ireland,Netflix,,PT47M,"A determined Angela makes a wish to reunite her family in time for Christmas, then launches a plan to find her way from Ireland to Australia.Angela's Christmas Wish featuring Lucy O'Connell and Ruth Negga is streaming with subscription on Netflix. It's an action & adventure and animation movie with a better than average IMDb audience rating of 7.0 (1,442 votes).",Damien O'Connor,"[""Lucy O'Connell"", 'Ruth Negga', 'Moe Dunford', 'Pat Kinevane', 'Jared Harris', 'Caitriona Balfe', ""Damien O'Connor"", 'Frank McCourt']"
Ari Eldjárn: Pardon My Icelandic,7.8,,"['Stand-up & Talk', 'Comedy']",2020,['Science'],Iceland,Netflix,18+ (R),PT54M,"Comedian Ari Eldjárn pokes fun at Nordic rivalries, Hollywood’s take on Thor, the whims of toddlers and more.Ari Eldjárn: Pardon My Icelandic featuring Ari Eldjárn is streaming with subscription on Netflix. It's a Comedy and Stand up & Talk movie with a high IMDb audience rating of 7.8 (1,513 votes).",August Jakobsson,"['Ari Eldjárn', 'August Jakobsson']"
Dogwashers,5.8,,"['Drama', 'Comedy']",2020,[],Argentina,Netflix,,PT1H47M,"When a narco past his prime refuses to pay a debt to an upstart, only a secret stash of money can save his men. But guess what the gardener just found?Dogwashers featuring Christian Tappán and Anderson Ballesteros is streaming with subscription on Netflix. It's a comedy and drama movie with an average IMDb audience rating of 5.8 (598 votes).",Carlos Moreno,"['Christian Tappán', 'Anderson Ballesteros', 'John Álex Toro', 'Antonio García Ángel', 'Pilar Quintana']"
Felix Lobrecht: Hype,5.9,,"['Stand-up & Talk', 'Comedy']",2020,['Dark Comedy'],Germany,Netflix,,PT59M,"Felix Lobrecht aims his dark humor at overly polite culture, weird laughter, the sheer awkwardness of a walking baby and more in this stand-up special.Felix Lobrecht: Hype featuring Felix Lobrecht is streaming with subscription on Netflix. It's a Comedy and Stand up & Talk movie with an average IMDb audience rating of 5.9 (255 votes).",Jan-Peter Horns,"['Felix Lobrecht', 'Felix Lobrecht', 'Godehard Wolpers', 'Felix Lobrecht']"
Bobbleheads: The Movie,2.3,,"['Action & Adventure', 'Animation']",2020,[],America,Netflix,7+ (PG),PT1H22M,"Get ready for a big shake-up when misfit bobbleheads take on trashy humans and a slobbery dog who crash their home with plans to swap a new baseball player bobblehead for a valuable one of them. With some guidance from Bobblehead Cher, they find the courage to bobble-up for an outrageous battle of wits and wobble.Bobbleheads: The Movie featuring Karen Fukuhara and Khary Payton is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Google Play, and 3 others. It's an action & adventure and animation movie with a very low IMDb audience rating of 2.3 (360 votes).",Kirk Wise,"['Karen Fukuhara', 'Khary Payton', 'Julian Sands', 'Brenda Song', 'Cher', 'Jennifer Coolidge', 'Luke Wilson', 'Anthony De Stefanis', 'Hala Finley', 'Grey DeLisle', 'Charlie Adler', 'Kelly D. Ward', 'Lawrence Kasanoff', 'Jimmy Ienner', 'Rich Thorne', 'Karl Geurs', ""Greg O'Connor""]"
Full Out 2: You Got This!,4.6,,['Family'],2020,[],America,Netflix,,PT1H30M,"When the University of Oklahoma Sooners lose their star gymnast, Brenna Dowell, the rest of the team have to find a way to believe in themselves in order to win their second National Gymnastics Championship. With the help of Riley, a local breakdancing phenomenon, Chayse and her OU teammates learn to incorporate intricate breakdance techniques into their gymnastics routines in order to find a competitive edge. At the end of it all, they realize what matters most is finding the confidence to believe in yourself.Full Out 2: You Got This! featuring Logan Edra and Sydney Cope is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Google Play, and 3 others. It's a family movie with a less than average IMDb audience rating of 4.6 (512 votes).",Jeff Deverett,"['Logan Edra', 'Sydney Cope', 'Braedyn Bruner', 'Liza Wilk', 'Billie D. Merritt', 'Jessica Johnson', 'Julia Self', 'Andy Chan', 'Jeff Deverett']"
Uma Maheswara Ugra Roopasya,7.7,,"['Drama', 'Comedy']",2020,[],India,Netflix,,PT2H16M,"Defeated and humiliated in a fight while trying to defuse a conflict among his fellow villagers, a photographer vows revenge on his attacker.Uma Maheswara Ugra Roopasya featuring Satyadev Kancharana and Hari Chandana is streaming with subscription on Netflix, available for rent or purchase on iTunes, and available for rent or purchase on Google Play. It's a comedy and drama movie with a high IMDb audience rating of 7.7 (1,651 votes).",Venkatesh Maha,"['Satyadev Kancharana', 'Hari Chandana', 'Naresh', 'Roopa Koduvayur', 'Suhas', 'Ravindra Vijay', 'Jabardasth Ram Prasad', 'Raghavan', 'Thummala Narasimha Reddy', 'Karuna Kumar', 'Venkatesh Maha', 'Venkatesh Maha', 'Bijibal']"
Elf Pets: Santa's Reindeer Rescue,5.1,,"['Animation', 'Family']",2020,[],,Netflix,,PT26M,"It's almost Christmas and Santa's test flights have run into trouble. Can The Elf on the Shelf, a crew of adorable Elf Pets Reindeer and Santa's gang of trusted Scout Elf friends help him find the answer before it's too late? Join Santa's cast of whimsical characters in this animated Christmas Special full of toe-tapping humor and heart, as they work together to save the holiday season and discover the power of love.Elf Pets: Santa's Reindeer Rescue featuring Brad Hyland and Joe Peery is streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 1 other. It's an animation and family movie with a less than average IMDb audience rating of 5.1 (83 votes).",Chanda Bell,"['Brad Hyland', 'Joe Peery', 'Leslie Bellair', 'Trevor Goble', 'Kristyl Dawn Tift', 'Lowrey Brown', 'Chanda Bell']"
Friendsgiving,4.4,,"['Comedy', 'Drama']",2020,"['Holiday', 'Female Director']",America,Netflix,18+ (R),PT1H35M,"Newly-divorced actress Molly, her recently-dumped lesbian best friend Abby and Molly’s mother Helen host a dysfunctional, comical and chaotic Thanksgiving dinner for their motley crew of close friends and strange acquaintances.Friendsgiving featuring Malin Åkerman and Kat Dennings is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Google Play, and 3 others. It's a comedy and drama movie with a less than average IMDb audience rating of 4.4 (2,809 votes).",Nicol Paone,"['Malin Åkerman', 'Kat Dennings', 'Jane Seymour', 'Aisha Tyler', 'Deon Cole', 'Ryan Hansen', 'Chelsea Peretti', 'Christine Taylor', 'Wanda Sykes', 'Margaret Cho', 'Rhea Butcher', 'Fortune Feimster', 'Andrew Santino', 'Dana DeLorenzo', 'Jack Donnelly', 'Ben Stiller', 'Haroon Saleem', 'Malin Åkerman', 'Nicholas Weinstock', 'Nicol Paone']"
Russell Howard: Recalibrate,7.4,,['Comedy'],2017,['Political'],United Kingdom,Netflix,18+ (R),PT1H9M,"Self-deprecating comic Russell Howard plows ahead through politics, porn, social media and his own shortcomings. Yet he somehow keeps it positive.Russell Howard: Recalibrate featuring Russell Howard is streaming with subscription on Netflix. It's a comedy movie with a better than average IMDb audience rating of 7.4 (1,611 votes).",Peter Orton,"['Russell Howard', 'Russell Howard']"
The Professor and the Madman,7.2,,"['Mystery', 'Drama']",2019,"['Doctor', 'Adaptation', 'Based on Books']",France,Kanopy,,PT2H4M,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.The Professor and the Madman featuring Mel Gibson and Sean Penn is streaming with subscription on Netflix, streaming with subscription on Hoopla, streaming with subscription on Kanopy, and 4 others. It's a drama and mystery movie with a better than average IMDb audience rating of 7.2 (44,702 votes).",Farhad Safinia,"['Mel Gibson', 'Sean Penn', 'Eddie Marsan', 'Natalie Dormer', 'Ioan Gruffudd', 'Steve Coogan', 'Jeremy Irvine', 'Brendan Patricks', 'Adam Fergus', 'Jennifer Ehle', 'Brian Fortune', 'Aidan McArdle', 'David Crowley', ""Kieran O'Reilly"", 'Bryan Murray', 'Oengus MacNamara', 'Christopher Maleki', 'Sean Duggan', 'Bryan Quinn', 'Steve Gunn', 'Malcolm Freeman', 'Bruce Davey', 'Gastón Pavlovich', 'Mel Gibson', 'Farhad Safinia', 'John Boorman', 'Todd Komarnicki']"
9to5: The Story of a Movement,7.4,,['Documentary'],2020,[],America,Netflix,,PT1H29M,"In the early 1970s, a group of secretaries in Boston decided that they had suffered in silence long enough. They started fighting back, creating a movement to force changes in their workplaces. This movement became national, and is a largely forgotten story of U.S. twentieth century history. It encapsulates a unique intersection of the women’s movement with the labor movement. The awareness these secretaries brought to bear on women’s work reverberates even today. Clericals were the low-wage workers of their era. America now confronts the growing reality of deep income inequality. The stories and strategies of these bold, creative women resonates in contemporary America.9to5: The Story of a Movement featuring Jane Fonda and Karen Nussbaum is streaming with subscription on Netflix. It's a documentary movie with a better than average IMDb audience rating of 7.4 (233 votes).",Julia Reichert,"['Steven Bognar', 'Jane Fonda', 'Karen Nussbaum', 'Julia Reichert', 'Steven Bognar']"
Feel the Beat,6.3,,"['Family', 'Drama']",2020,['Dance'],Canada,Netflix,All (G),PT1H47M,"After failing to make it on Broadway, April returns to her hometown and reluctantly begins training a misfit group of young dancers for a competition.Feel the Beat featuring Sofia Carson and Wolfgang Novogratz is streaming with subscription on Netflix. It's a drama and family movie with an average IMDb audience rating of 6.3 (10,804 votes).",Elissa Down,"['Sofia Carson', 'Wolfgang Novogratz', 'Donna Lynne Champlin', 'Enrico Colantoni', 'Dennis Andres', 'Rex Lee', 'Brandon Kyle Goodman', 'Eva Hauge', 'Lidya Jewett', 'Sadie Lapidus', 'Johanna Colón', 'Shaylee Mansfield', 'Shiloh Nelson', 'Justin Caruso Allan', 'Carina Battrick', 'Kai Zen', 'Marissa Jaret Winokur', 'Robinne Fanfair', 'Pamela MacDonald', 'Marcia Bennett', 'Drew Davis', 'Susan Cartsonis', 'Aaron Barnett', 'Brent Emery', 'Suzanne McNeill Farwell', 'Michael Armbruster', 'Shawn Ku']"
Four Brothers,6.8,,"['Crime', 'Action & Adventure']",2005,['Revenge'],America,BET+,18+ (R),PT1H49M,"Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.Four Brothers featuring Mark Wahlberg and Tyrese Gibson is streaming with subscription on Netflix, streaming with subscription on BET+, available for rent or purchase on iTunes, and 4 others. It's an action & adventure and crime movie with a better than average IMDb audience rating of 6.8 (145,021 votes).",John Singleton,"['Mark Wahlberg', 'Tyrese Gibson', 'André Benjamin', 'Garrett Hedlund', 'Terrence Howard', 'Josh Charles', 'Sofía Vergara', 'Fionnula Flanagan', 'Chiwetel Ejiofor', 'Taraji P. Henson', 'Barry Shabaka Henley', 'Jernard Burks', 'Kenneth Welsh', 'Tony Nappo', 'Shawn Singleton', 'Lyriq Bent', 'Shomari Downer', 'Mpho Koaho', 'Costin Manu', 'Kevin Duhaney', 'Victor A. Young', 'Lorenzo Di Bonaventura', 'Erik Howsam', 'Ric Kidney', 'David Elliot', 'Paul Lovett', 'David Arnold']"
The Most Dangerous Man in Europe,6.8,,"['History', 'Documentary']",2020,"['Spy', 'War', 'Military']",Spain,Netflix,,PT1H8M,"Waffen-SS officer Otto Skorzeny (1908-75) became famous for his participation in daring military actions during World War II. In 1947 he was judged and imprisoned, but he escaped less than a year later and found a safe haven in Spain, ruled with an iron hand by General Francisco Franco. What did he do during the many years he spent there?The Most Dangerous Man in Europe featuring Paloma Navarro and Luis María Pardo is streaming with subscription on Netflix. It's a documentary and history movie with a better than average IMDb audience rating of 6.8 (209 votes).",Pablo Azorín,"['Pedro de Echave', 'Paloma Navarro', 'Luis María Pardo', 'José Luis Blanco Corredoira', 'Ralph P. Ganis', 'Almudena Grandes', 'Stuart Smith', 'Joan Buades', 'Javier Juárez', 'David Solar', 'Jacinto Antón', 'Waltraut Riess', 'Efraim Zuroff', 'Óscar González', 'Jaume Poma', 'Alexandra Jones', 'Yossi Melman', 'Otto Skorzeny', 'Ilse Lüthje', 'Francisco Franco', 'Víctor de la Serna', 'Adolf Hitler', 'Andrés Luque', 'Nacho Tejedor', 'Pablo Azorín', 'Pedro de Echave', 'Francisco Albéniz']"
The Blind Christ,5.8,,"['Comedy', 'Drama']",2016,['Religion'],Chile,Netflix,,PT1H35M,Michael is an inhabitant of a remote village in the Chilean desert. But not any inhabitant. He is Christ.The Blind Christ featuring Michael Silva and Pedro Godoy is streaming with subscription on Netflix. It's a comedy and drama movie with an average IMDb audience rating of 5.8 (273 votes).,Christopher Murray,"['Michael Silva', 'Pedro Godoy', 'Ana María Henríquez', 'Mauricio Pinto', 'Bastian Inostroza', 'Christopher Murray']"
TMNT,6.2,,"['Children', 'Comedy']",2007,"['Cartoon', 'Superhero', 'Animal']",Hong Kong,HBO MAX,7+ (PG),PT1H27M,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City.TMNT featuring James Arnold Taylor and Mitchell Whitfield is streaming with subscription on Netflix, streaming with subscription on HBO MAX, available for rent or purchase on iTunes, and 3 others. It's an action & adventure and children movie with an average IMDb audience rating of 6.2 (64,189 votes).",Kevin Munroe,"['James Arnold Taylor', 'Mitchell Whitfield', 'Nolan North', 'Mikey Kelley', 'Sarah Michelle Gellar', 'Chris Evans', 'Mako', 'Patrick Stewart', 'Kevin Smith', 'Laurence Fishburne', 'Zhang Ziyi', 'John DiMaggio', 'Paula Mattioli', 'Kevin Michael Richardson', 'Fred Tatasciore', 'Dee Bradley Baker', 'Greg Baldwin', 'Jeff Bennett', 'Jim Cummings', 'Grey DeLisle', 'Chris Edgerly', 'Galen Walker', 'Kyle Clark', 'Paul Wang', 'Thomas K. Gray', 'Tom Gray Thomas Gray', 'Francis Kao', 'Frederick U. Fierst', 'Gary Richardson', 'Peter Laird', 'Kevin Munroe', 'Klaus Badelt']"
Here Comes the Rain,6.3,,['Drama'],2011,[],Lebanon,Netflix,,PT1H40M,"Abducted during the Lebanese Civil War and now in his 50s, Ramez is finally a free man. But he returns to society deeply traumatized by the past.Here Comes the Rain featuring Hassan Mrad and Julia Kassar is streaming with subscription on Netflix. It's a drama movie with an average IMDb audience rating of 6.3 (63 votes).",Bahij Hojeij,"['Hassan Mrad', 'Julia Kassar', 'Carmen Lebbos', 'Bernadette Hodeib', 'Elie Mitri', 'Diamand Abou Abboud', 'Bahij Hojeij', 'Paul Baboudjian']"
The Lost Cafe,6.6,,"['Drama', 'Comedy']",2018,[],Nigeria,Netflix,,PT1H16M,"This film, the first ever Nigerian-Norwegian co-production, tells the story of Ose, a young Nigerian woman who decides to pursue her dream career as a filmmaker in Norway. Torn between two worlds, with family issues at home and problems settling in, Ose meets the strange, half-blind owner of a quaint coffee shop that serves the best coffee in the world and begins to find the most unexpected answers to her problems.The Lost Cafe featuring Tunde Aladese and Jenny Bonden is streaming with subscription on Netflix. It's a comedy and drama movie with an average IMDb audience rating of 6.6 (25 votes).",Kenneth Gyang,"['Tunde Aladese', 'Jenny Bonden', 'Tayo Citadel', 'Anita Daniels', 'Silje Drengsrud', 'Belinda Effah', 'Regina Idu Udalor', 'Udalor Akor', 'Ifesinachi Okoli-Okpagu', 'Regina Idu Udalor']"
